#Event S_ID P B E Ly Ld Mo S C St Px Bd
1 138 0 1 0 5 1 11 0 1 50 3 1
1 139 1 1 0 0 0 11 0 1 100 3 1
1 140 1 1 0 1 0 11 0 1 100 3 1
1 141 1 1 0 2 0 11 0 1 100 3 1
1 142 0 1 0 3 0 11 0 1 100 3 1
1 143 0 1 0 4 0 11 0 1 100 3 1
1 144 0 1 0 5 0 11 0 1 100 3 1
1 145 1 1 0 0 1 12 0 1 1 3 1
1 146 1 1 0 1 1 12 0 1 1 3 1
1 147 1 1 0 2 1 12 0 1 1 3 1
1 148 0 1 0 3 1 12 0 1 1 3 1
1 149 0 1 0 4 1 12 0 1 1 3 1
1 150 0 1 0 5 1 12 0 1 1 3 1
1 151 1 1 0 0 0 12 0 1 50 3 1
1 152 1 1 0 1 0 12 0 1 50 3 1
1 153 1 1 0 2 0 12 0 1 50 3 1
1 154 0 1 0 3 0 12 0 1 50 3 1
1 155 0 1 0 4 0 12 0 1 50 3 1
1 156 0 1 0 5 0 12 0 1 50 3 1
1 157 1 1 0 0 1 13 0 1 100 3 1
1 158 1 1 0 1 1 13 0 1 100 3 1
1 159 1 1 0 2 1 13 0 1 100 3 1
1 160 0 1 0 3 1 13 0 1 100 3 1
1 161 0 1 0 4 1 13 0 1 100 3 1
1 162 0 1 0 5 1 13 0 1 100 3 1
1 163 1 1 0 0 0 13 0 1 1 3 1
1 164 1 1 0 1 0 13 0 1 1 3 1
1 165 1 1 0 2 0 13 0 1 1 3 1
1 166 0 1 0 3 0 13 0 1 1 3 1
1 167 0 1 0 4 0 13 0 1 1 3 1
1 168 0 1 0 5 0 13 0 1 1 3 1
1 169 1 1 0 0 1 14 0 1 50 3 1
1 170 1 1 0 1 1 14 0 1 50 3 1
1 171 1 1 0 2 1 14 0 1 50 3 1
1 172 0 1 0 3 1 14 0 1 50 3 1
1 173 0 1 0 4 1 14 0 1 50 3 1
1 174 0 1 0 5 1 14 0 1 50 3 1
1 175 1 1 0 0 0 14 0 1 100 3 1
1 176 1 1 0 1 0 14 0 1 100 3 1
1 177 1 1 0 2 0 14 0 1 100 3 1
1 178 0 1 0 3 0 14 0 1 100 3 1
1 179 0 1 0 4 0 14 0 1 100 3 1
1 180 0 1 0 5 0 15 1 1 100 3 1
1 181 1 1 0 0 1 15 1 1 1 3 1
1 182 1 1 0 1 1 15 1 1 1 3 1
1 183 1 1 0 2 1 15 1 1 1 3 1
1 184 0 1 0 3 1 15 1 1 1 3 1
1 185 0 1 0 4 1 15 1 1 1 3 1
1 186 0 1 0 5 1 15 1 1 1 3 1
1 187 1 1 0 0 0 15 1 1 50 3 1
1 188 1 1 0 1 0 15 1 1 50 3 1
1 189 1 1 0 2 0 15 1 1 50 3 1
1 190 0 1 0 3 0 15 1 1 50 3 1
1 191 0 1 0 4 0 15 1 1 50 3 1
1 192 0 1 0 5 0 15 1 1 50 3 1
1 193 1 1 0 0 1 16 1 1 100 3 1
1 194 1 1 0 1 1 16 1 1 100 3 1
1 195 1 1 0 2 1 16 1 1 100 3 1
1 196 0 1 0 3 1 16 1 1 100 3 1
1 197 0 1 0 4 1 16 1 1 100 3 1
1 198 0 1 0 5 1 16 1 1 100 3 1
1 199 1 1 0 0 0 16 1 1 1 3 1
1 200 1 1 0 1 0 16 1 1 1 3 1
1 201 1 1 0 2 0 16 1 1 1 3 1
1 202 0 1 0 3 0 16 1 1 1 3 1
1 203 0 1 0 4 0 16 1 1 1 3 1
1 204 0 1 0 5 0 16 1 1 1 3 1
1 205 1 1 0 0 1 17 1 1 50 3 1
1 206 1 1 0 1 1 17 1 1 50 3 1
1 207 1 1 0 2 1 17 1 1 50 3 1
1 208 0 1 0 3 1 17 1 1 50 3 1
1 209 0 1 0 4 1 17 1 1 50 3 1
1 210 0 1 0 5 1 17 1 1 50 3 1
1 211 1 1 0 0 0 17 1 1 100 3 1
1 212 1 1 0 1 0 17 1 1 100 3 1
1 213 1 1 0 2 0 17 1 1 100 3 1
1 214 0 1 0 3 0 17 1 1 100 3 1
1 215 0 1 0 4 0 17 1 1 100 3 1
1 216 0 1 0 5 0 17 1 1 100 3 1
1 217 1 1 0 0 1 18 1 1 1 3 1
1 218 1 1 0 1 1 18 1 1 1 3 1
1 219 1 1 0 2 1 18 1 1 1 3 1
1 220 0 1 0 3 1 18 1 1 1 3 1
1 221 0 1 0 4 1 18 1 1 1 3 1
1 222 0 1 0 5 1 18 1 1 1 3 1
1 223 1 1 0 0 0 18 1 1 50 3 1
1 224 1 1 0 1 0 18 1 1 50 3 1
1 225 1 1 0 2 0 18 1 1 50 3 1
1 226 0 1 0 3 0 18 1 1 50 3 1
1 227 0 1 0 4 0 18 1 1 50 3 1
1 228 0 1 0 5 0 18 1 1 50 3 1
1 229 1 1 0 0 1 19 1 1 100 3 1
1 230 1 1 0 1 1 19 1 1 100 3 1
1 231 1 1 0 2 1 19 1 1 100 3 1
1 232 0 1 0 3 1 19 1 1 100 3 1
1 233 0 1 0 4 1 19 1 1 100 3 1
1 234 0 1 0 5 1 19 1 1 100 3 1
1 235 1 1 0 0 0 19 1 1 1 3 1
1 236 1 1 0 1 0 19 1 1 1 3 1
1 237 1 1 0 2 0 19 1 1 1 3 1
1 238 0 1 0 3 0 19 1 1 1 3 1
1 239 0 1 0 4 0 19 1 1 1 3 1
1 240 0 1 0 5 0 19 1 1 1 3 1
1 241 1 1 0 0 1 20 1 1 50 3 1
1 242 1 1 0 1 1 20 1 1 50 3 1
1 243 1 1 0 2 1 20 1 1 50 3 1
1 244 0 1 0 3 1 20 1 1 50 3 1
1 245 0 1 0 4 1 20 1 1 50 3 1
1 246 0 1 0 5 1 20 1 1 50 3 1
1 247 1 1 0 0 0 20 1 1 100 3 1
1 248 1 1 0 1 0 20 1 1 100 3 1
1 249 1 1 0 2 0 20 1 1 100 3 1
1 250 0 1 0 3 0 20 1 1 100 3 1
1 251 0 1 0 4 0 20 1 1 100 3 1
1 252 0 1 0 5 0 20 1 1 100 3 1
1 253 1 1 0 0 1 20 1 1 1 3 1
1 254 1 1 0 1 1 20 1 1 1 3 1
1 255 1 1 0 2 1 20 1 1 1 3 1
1 256 0 1 0 3 1 20 1 1 1 3 1
1 257 0 1 0 4 1 20 1 1 1 3 1
1 258 0 1 0 5 1 20 1 1 1 3 1
1 259 1 1 0 0 0 21 1 1 50 3 1
1 260 1 1 0 1 0 21 1 1 50 3 1
1 261 1 1 0 2 0 21 1 1 50 3 1
1 262 0 1 0 3 0 21 1 1 50 3 1
1 263 0 1 0 4 0 21 1 1 50 3 1
1 264 0 1 0 5 0 21 1 1 50 3 1
1 265 1 1 0 0 1 21 1 1 100 3 1
1 266 1 1 0 1 1 21 1 1 100 3 1
1 267 1 1 0 2 1 21 1 1 100 3 1
1 268 0 1 0 3 1 21 1 1 100 3 1
1 269 0 1 0 4 1 21 1 1 100 3 1
1 270 0 1 0 5 1 21 1 1 100 3 1
1 271 1 1 0 0 0 21 1 1 1 3 1
1 272 1 1 0 1 0 21 1 1 1 3 1
1 273 1 1 0 2 0 21 1 1 1 3 1
1 274 0 1 0 3 0 21 1 1 1 3 1
1 275 0 1 0 4 0 21 1 1 1 3 1
1 276 0 1 0 5 0 21 1 1 1 3 1
1 277 1 1 0 0 1 22 1 1 50 3 1
1 278 1 1 0 1 1 22 1 1 50 3 1
1 279 1 1 0 2 1 22 1 1 50 3 1
1 280 0 1 0 3 1 22 1 1 50 3 1
1 281 0 1 0 4 1 22 1 1 50 3 1
1 282 0 1 0 5 1 22 1 1 50 3 1
1 283 1 1 0 0 0 22 1 1 100 3 1
1 284 1 1 0 1 0 22 1 1 100 3 1
1 285 1 1 0 2 0 22 1 1 100 3 1
1 286 0 1 0 3 0 22 1 1 100 3 1
1 287 0 1 0 4 0 22 1 1 100 3 1
1 288 0 1 0 5 0 22 1 1 100 3 1
1 289 1 1 0 0 1 23 1 1 1 3 1
1 290 1 1 0 1 1 23 1 1 1 3 1
1 291 1 1 0 2 1 23 1 1 1 3 1
1 292 0 1 0 3 1 23 1 1 1 3 1
1 293 0 1 0 4 1 23 1 1 1 3 1
1 294 0 1 0 5 1 23 1 1 1 3 1
1 295 1 1 0 0 0 23 1 1 50 3 1
1 296 1 1 0 1 0 23 1 1 50 3 1
1 297 1 1 0 2 0 23 1 1 50 3 1
1 298 0 1 0 3 0 23 1 1 50 3 1
1 299 0 1 0 4 0 23 1 1 50 3 1
1 300 0 1 0 5 0 23 1 1 50 3 1
